 salida de comprobacion de la propagacion de un acceso a memoria

ciclo acceso pend.    acceso cache
      tipo   direc.  tipo   direc.     segmentacion del acceso                        act. campos  estado CC    cache contenido  memoria
                                 A/F                                                    ET ES DA                CT ET    ES DA   contenido
  
    4 store   0000   store   0000      D0                                                N  N  N        DES0    0  XXXX  U  XX    XX
  118 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
  119 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
  120 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
  121 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
  122 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
  123 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
  124 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
  125 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
  126 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
  127 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
  128 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
  129 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
  130 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ME     N  N  N       ESPEF    0  XXXX  U  XX    01
  131 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ME     N  N  N       ESPEF    0  XXXX  U  XX    01
  132 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ME     N  N  N       ESPEF    0  XXXX  U  XX    01
  133 load    0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ME     N  N  N       ESPEF    0  XXXX  U  XX    01
